user,datetime,timezone,mode,time,score,pieces,lines,level,DAS,ARR,SDF,keys,holds,single,double,triple,tetris,mini t-spin null,mini t-spin single,mini t-spin double,t-spin null,t-spin single,t-spin double,t-spin triple,perfect clear single,perfect clear double,perfect clear triple,perfect clear tetris,max B2B,max combo
aki,2023/07/14 15:52:05,-0400,sprint,40.129953145980835,53535,104,41,5,133,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5,6,1,0,1,0,1,3
aki,2023/07/15 20:11:34,-0400,sprint,41.766002893447876,56446,104,41,5,133,0,0,353,36,5,2,0,0,0,0,0,0,0,5,6,0,2,0,0,1,3
aki,2023/07/19 17:53:25,-0400,sprint,42.04184889793396,59224,104,40,5,133,0,0,368,40,3,3,0,0,0,0,0,0,1,4,6,0,2,0,0,3,2
aki,2023/08/11 18:37:54,-0400,sprint,42.75465655326843,55457,105,40,5,133,0,0,360,36,6,3,0,0,0,0,0,0,1,3,6,1,1,0,0,2,3
aki,2023/07/15 20:21:10,-0400,sprint,43.02589249610901,52345,104,40,5,133,0,0,364,37,6,2,0,0,0,0,0,0,0,4,6,0,2,0,0,1,1
aki,2023/07/19 23:43:40,-0400,sprint,43.740997314453125,56406,105,41,5,133,0,0,354,37,4,4,0,0,0,1,0,0,1,3,6,1,1,0,0,3,3
aki,2023/07/19 17:43:33,-0400,sprint,43.94843411445618,66638,104,41,5,133,0,0,367,38,7,0,1,0,0,0,0,0,1,4,6,0,2,0,0,3,4
aki,2023/07/19 17:48:17,-0400,sprint,44.36621141433716,62338,104,40,5,133,0,0,365,33,6,2,0,0,0,0,0,0,0,4,6,0,2,0,0,3,2
aki,2023/07/19 23:37:46,-0400,sprint,44.99785661697388,63905,104,41,5,133,0,0,383,36,3,3,0,0,0,0,0,0,0,5,6,0,2,0,0,3,2
aki,2023/07/19 23:28:08,-0400,sprint,45.68997859954834,65230,104,40,5,133,0,0,370,40,5,2,0,0,0,0,0,0,0,5,6,1,1,0,0,3,2
aki,2023/08/08 14:38:33,-0400,sprint,46.17394042015076,59557,104,40,5,133,0,0,369,38,7,1,0,0,1,0,0,0,1,4,6,0,2,0,0,3,1
aki,2023/07/19 23:34:04,-0400,sprint,46.30797719955444,59929,104,40,5,133,0,0,381,42,4,3,0,0,0,0,0,0,0,5,6,2,0,0,0,3,2
aki,2023/07/15 20:28:26,-0400,sprint,47.84803819656372,49190,105,40,5,133,0,0,405,43,6,2,0,0,0,0,0,0,1,4,6,1,1,0,0,1,4
aki,2023/07/18 21:52:16,-0400,sprint,48.042680501937866,73421,105,42,5,133,0,0,374,38,6,0,0,0,0,0,0,0,0,6,6,1,1,1,0,3,3
aki,2023/07/15 20:25:34,-0400,sprint,49.25855326652527,48130,105,40,5,133,0,0,387,39,5,3,0,0,0,0,0,0,1,4,6,0,1,0,0,1,1
aki,2023/07/19 23:26:21,-0400,sprint,50.36399865150452,65819,103,40,5,133,0,0,379,32,6,1,0,0,0,0,0,0,0,5,6,0,2,0,0,3,2
aki,2023/08/19 23:05:22,-0400,sprint,52.20078492164612,59110,104,40,5,133,0,0,374,40,6,1,0,0,0,0,0,0,0,5,6,0,2,0,0,3,1
aki,2023/07/19 17:42:29,-0400,sprint,52.55940389633179,59272,104,40,5,133,0,0,392,47,7,2,0,0,0,0,0,0,0,3,6,0,1,1,0,3,3
aki,2023/08/19 22:57:55,-0400,sprint,55.90329384803772,39364,104,40,5,133,0,0,369,36,9,5,0,0,0,0,0,0,0,3,4,1,1,0,0,2,2
aki,2023/07/21 02:25:41,-0400,sprint,57.95509362220764,62996,103,40,5,133,0,0,382,41,3,2,0,0,0,0,0,0,0,7,5,0,2,0,0,3,2
aki,2023/07/13 17:00:33,-0400,sprint,61.02912616729736,54273,103,40,5
test,2023/07/13 17:00:33,-0400,sprint,61.67822790145874,39897,106,41,5
aki,2023/07/18 18:46:36,-0400,sprint,108.92345237731934,23261,123,40,5,133,0,0,414,41,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,2,2
